symbol,group,target_percent,current_quantity
USDT,Base,30,7217.36
USDT,Caixa,0.2,1.33662016
AAVE,Altcoins,0.01,15.39511
ADA,Altcoins,0.005,3882.90300017
ALGO,Altcoins,0.005,6415.518
ASTR,Altcoins,0.005,4457.1563
ATOM,Altcoins,0.01,327.619
Aurora,Altcoins,0,0
BGB,Altcoins,0,0
BLOCK,Altcoins,0.002,18524.6800592
BLOCKAsset,Altcoins,0.001,2933.1127298
BTC,Base,0.55,1.13418934
CKB,Altcoins,0.005,191559.01348553
DOT,Altcoins,0.01,638.54793
DYDX,Altcoins,0.005,772.83772556
ETH,Altcoins,0.1,11.0035806
FET,Altcoins,0.01,2992.57173221
S,Altcoins,0.002,1079.7163588
GALA,Altcoins,0.002,21340.25
GT,Altcoins,0,0.6520138
IMX,Altcoins,0,0
Link,Altcoins,0.02,700.81342
NEAR,Altcoins,0.01,1718.56758157
POL,Altcoins,0.01,5954.6351
RMRK,Altcoins,0.004,3094.16935844
SAND,Altcoins,0,0
SCRT,Altcoins,0.001,369.3566038
SFI,Altcoins,0.001,998.620392
SFUND,Altcoins,0.001,0
SOL,Altcoins,0.02,22.52807627
ARC,Altcoins,0,0
TIA,Altcoins,0,0
UOS,Altcoins,0.004,9951.3440976
xrd,Altcoins,0.005,69611.301046
ZIL,Altcoins,0.001,13165.78
USDT,Caixa,0.3,824.03060846
AAVE,Altcoins,0.03,0.779
ADA,Altcoins,0.005,0
ALGO,Altcoins,0.01,0
ASTR,Altcoins,0.005,0
ARC,Altcoins,0.01,917.56077
ATOM,Altcoins,0.005,117.678414
Aurora,Altcoins,0.005,1471.98498
BGB,Altcoins,0,7.39143215
BLOCK,Altcoins,0,0
BLOCKAsset,Altcoins,0,0
BTC,Altcoins,0.14,0.00961336
CKB,Altcoins,0.02,4395.53161
DOT,Altcoins,0.02,16.5134216
DRIFT,Altcoins,0.005,0
DYDX,Altcoins,0.002,511.2833591
ETH,Altcoins,0.1,0.62959644
FET,Altcoins,0.03,854.472
FLOKI,Altcoins,0.002,0
GALA,Altcoins,0.002,5472.9293922
GRIFFAIN,Altcoins,0.005,858.11103
GRIFT,Altcoins,0,0
IMX,Altcoins,0.005,217.30138
GT,Altcoins,0,0
Link,Altcoins,0.03,24.442868
MNT,Altcoins,0,0.07529214
NEUR,Altcoins,0.002,0
NEAR,Altcoins,0.02,224.42913
PAAL,Altcoins,0.002,652.347
PENDLE,Altcoins,0.02,73.54
POL,Altcoins,0.02,516.99696
PRCL,Altcoins,0.002,0
PRIME,Altcoins,0.002,0
PYTH,Altcoins,0.002,929.41965
RAY,Altcoins,0,0.48197
RENDER,Altcoins,0.02,0.00802
RMRK,Altcoins,0,0
S,Altcoins,0.005,0
SAND,Altcoins,0.005,846.3602988
SCRT,Altcoins,0.002,0
SEKOIA,Altcoins,0.002,0
SFI,Altcoins,0.002,0
SFUND,Altcoins,0.002,491.76273
SNAI,Altcoins,0.002,0
SOL,Altcoins,0.1,0.2693898
STX,Altcoins,0.005,0
SPEC,Altcoins,0.005,0
TAI,Altcoins,0.002,549.3501
TIA,Altcoins,0.002,93.19671
TON,Altcoins,0.002,0
UOS,Altcoins,0,0
UMA,Altcoins,0.002,0
UNI,Altcoins,0,0
VIRTUAL,Altcoins,0.02,0
XRD,Altcoins,0.01,13082.81147
ZIL,Altcoins,0.01,16770.287
USDT,DeFi,0,2064.71
USDT,DeFi,-25,-1219
USDT,DeFi,55,4160
USDT,DeFi,30,1821